[2020-01-29 17:51:48,904] [views.py:42] [views:getACData] [INFO]- 计科1704start ac data
[2020-01-29 17:51:48,907] [views.py:45] [views:getACData] [INFO]- 计科1704end ac data
[2020-01-29 17:51:48,907] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,909] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,910] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,911] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,912] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,917] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,917] [views.py:42] [views:getACData] [INFO]- 计科1703start ac data
[2020-01-29 17:51:48,920] [views.py:45] [views:getACData] [INFO]- 计科1703end ac data
[2020-01-29 17:51:48,921] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,925] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,929] [views.py:42] [views:getACData] [INFO]- 计科1704start ac data
[2020-01-29 17:51:48,931] [views.py:45] [views:getACData] [INFO]- 计科1704end ac data
[2020-01-29 17:51:48,932] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,934] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,937] [views.py:42] [views:getACData] [INFO]- 信息1704start ac data
[2020-01-29 17:51:48,943] [views.py:45] [views:getACData] [INFO]- 信息1704end ac data
[2020-01-29 17:51:48,943] [views.py:42] [views:getACData] [INFO]- 计科1805start ac data
[2020-01-29 17:51:48,946] [views.py:45] [views:getACData] [INFO]- 计科1805end ac data
[2020-01-29 17:51:48,947] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,951] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,951] [views.py:42] [views:getACData] [INFO]- 计科1703start ac data
[2020-01-29 17:51:48,955] [views.py:45] [views:getACData] [INFO]- 计科1703end ac data
[2020-01-29 17:51:48,957] [views.py:42] [views:getACData] [INFO]- 计科1705start ac data
[2020-01-29 17:51:48,961] [views.py:45] [views:getACData] [INFO]- 计科1705end ac data
[2020-01-29 17:51:48,962] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,964] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,965] [views.py:42] [views:getACData] [INFO]- 计科1803start ac data
[2020-01-29 17:51:48,970] [views.py:45] [views:getACData] [INFO]- 计科1803end ac data
[2020-01-29 17:51:48,974] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/getACData HTTP/1.1" 200 1293
[2020-01-29 17:53:21,072] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/ HTTP/1.1" 200 57439
[2020-01-29 17:55:10,172] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\views.py changed, reloading.
[2020-01-29 17:55:12,104] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:55:31,862] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\views.py changed, reloading.
[2020-01-29 17:55:33,800] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:56:04,269] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\views.py changed, reloading.
[2020-01-29 17:56:06,641] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:56:08,919] [views.py:43] [views:getACData] [INFO]- 张世东start ac data
[2020-01-29 17:56:09,434] [views.py:46] [views:getACData] [INFO]- 张世东end ac data
[2020-01-29 17:56:09,474] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/getACData HTTP/1.1" 200 16
[2020-01-29 17:56:23,225] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\views.py changed, reloading.
[2020-01-29 17:56:25,765] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 17:56:30,171] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/getCFData HTTP/1.1" 200 16
[2020-01-29 17:56:33,156] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/ HTTP/1.1" 200 57460
[2020-01-29 17:56:57,720] [autoreload.py:222] [autoreload:trigger_reload] [INFO]- E:\刘勇团队文件\项目相关\程序代码\PY-2020-ACM\mycode\acmer\acmerdata\views.py changed, reloading.
[2020-01-29 17:57:00,439] [autoreload.py:598] [autoreload:run_with_reloader] [INFO]- Watching for file changes with StatReloader
[2020-01-29 18:05:41,237] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/ HTTP/1.1" 200 57551
[2020-01-29 18:05:44,323] [log.py:228] [log:log_response] [WARNING]- Not Found: /contestlist
[2020-01-29 18:05:44,325] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /contestlist HTTP/1.1" 404 2081
[2020-01-29 18:06:06,570] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/ HTTP/1.1" 200 57561
[2020-01-29 18:06:08,235] [log.py:228] [log:log_response] [WARNING]- Not Found: /acmerdata/contestlist
[2020-01-29 18:06:08,238] [basehttp.py:157] [basehttp:log_message] [WARNING]- "GET /acmerdata/contestlist HTTP/1.1" 404 3128
[2020-01-29 18:06:27,332] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/contests HTTP/1.1" 200 262
[2020-01-29 18:06:59,867] [basehttp.py:157] [basehttp:log_message] [INFO]- "GET /acmerdata/contests HTTP/1.1" 200 77368
